date,team,plays
2026-03-16,BOS,1
2026-03-16,CGY,1
2026-03-16,COL,1
2026-03-16,DAL,1
2026-03-16,DET,1
2026-03-16,LAK,1
2026-03-16,NJD,1
2026-03-16,NYR,1
2026-03-16,PIT,1
2026-03-16,UTA,1
2026-03-17,BOS,1
2026-03-17,BUF,1
2026-03-17,CAR,1
2026-03-17,CBJ,1
2026-03-17,CHI,1
2026-03-17,EDM,1
2026-03-17,FLA,1
2026-03-17,MIN,1
2026-03-17,MTL,1
2026-03-17,NSH,1
2026-03-17,NYI,1
2026-03-17,SEA,1
2026-03-17,SJS,1
2026-03-17,TBL,1
2026-03-17,TOR,1
2026-03-17,VAN,1
2026-03-17,VGK,1
2026-03-17,WPG,1
2026-03-18,ANA,1
2026-03-18,CAR,1
2026-03-18,CGY,1
2026-03-18,COL,1
2026-03-18,DAL,1
2026-03-18,NJD,1
2026-03-18,NYR,1
2026-03-18,OTT,1
2026-03-18,PHI,1
2026-03-18,PIT,1
2026-03-18,STL,1
2026-03-18,WSH,1
2026-03-19,BOS,1
2026-03-19,BUF,1
2026-03-19,CBJ,1
2026-03-19,CHI,1
2026-03-19,DET,1
2026-03-19,EDM,1
2026-03-19,FLA,1
2026-03-19,LAK,1
2026-03-19,MIN,1
2026-03-19,MTL,1
2026-03-19,NSH,1
2026-03-19,NYI,1
2026-03-19,NYR,1
2026-03-19,OTT,1
2026-03-19,PHI,1
2026-03-19,SEA,1
2026-03-19,SJS,1
2026-03-19,TBL,1
2026-03-19,UTA,1
2026-03-19,VAN,1
2026-03-19,VGK,1
2026-03-19,WPG,1
2026-03-20,ANA,1
2026-03-20,CAR,1
2026-03-20,CGY,1
2026-03-20,CHI,1
2026-03-20,COL,1
2026-03-20,FLA,1
2026-03-20,NJD,1
2026-03-20,TOR,1
2026-03-20,UTA,1
2026-03-20,WSH,1
2026-03-21,BOS,1
2026-03-21,BUF,1
2026-03-21,CBJ,1
2026-03-21,DAL,1
2026-03-21,DET,1
2026-03-21,EDM,1
2026-03-21,LAK,1
2026-03-21,MIN,1
2026-03-21,MTL,1
2026-03-21,NSH,1
2026-03-21,NYI,1
2026-03-21,OTT,1
2026-03-21,PHI,1
2026-03-21,PIT,1
2026-03-21,SEA,1
2026-03-21,SJS,1
2026-03-21,STL,1
2026-03-21,TBL,1
2026-03-21,TOR,1
2026-03-21,VAN,1
2026-03-21,VGK,1
2026-03-21,WPG,1
2026-03-22,ANA,1
2026-03-22,BUF,1
2026-03-22,CAR,1
2026-03-22,CBJ,1
2026-03-22,CGY,1
2026-03-22,CHI,1
2026-03-22,COL,1
2026-03-22,DAL,1
2026-03-22,LAK,1
2026-03-22,NSH,1
2026-03-22,NYI,1
2026-03-22,NYR,1
2026-03-22,PIT,1
2026-03-22,TBL,1
2026-03-22,UTA,1
2026-03-22,VGK,1
2026-03-22,WPG,1
2026-03-22,WSH,1
2026-03-23,NYR,1
2026-03-23,OTT,1
2026-03-24,ANA,1
2026-03-24,BOS,1
2026-03-24,CAR,1
2026-03-24,CBJ,1
2026-03-24,CGY,1
2026-03-24,CHI,1
2026-03-24,COL,1
2026-03-24,DAL,1
2026-03-24,DET,1
2026-03-24,EDM,1
2026-03-24,FLA,1
2026-03-24,LAK,1
2026-03-24,MIN,1
2026-03-24,MTL,1
2026-03-24,NJD,1
2026-03-24,NSH,1
2026-03-24,NYI,1
2026-03-24,OTT,1
2026-03-24,PHI,1
2026-03-24,PIT,1
2026-03-24,SEA,1
2026-03-24,SJS,1
2026-03-24,STL,1
2026-03-24,TBL,1
2026-03-24,TOR,1
2026-03-24,UTA,1
2026-03-24,VAN,1
2026-03-24,VGK,1
2026-03-24,WPG,1
2026-03-24,WSH,1
2026-03-25,BOS,1
2026-03-25,BUF,1
2026-03-25,NYR,1
2026-03-25,TOR,1
2026-03-26,ANA,1
2026-03-26,CBJ,1
2026-03-26,CGY,1
2026-03-26,CHI,1
2026-03-26,COL,1
2026-03-26,DAL,1
2026-03-26,EDM,1
2026-03-26,FLA,1
2026-03-26,LAK,1
2026-03-26,MIN,1
2026-03-26,MTL,1
2026-03-26,NJD,1
2026-03-26,NSH,1
2026-03-26,NYI,1
2026-03-26,OTT,1
2026-03-26,PHI,1
2026-03-26,PIT,1
2026-03-26,SEA,1
2026-03-26,SJS,1
2026-03-26,STL,1
2026-03-26,TBL,1
2026-03-26,UTA,1
2026-03-26,VAN,1
2026-03-26,VGK,1
2026-03-26,WPG,1
2026-03-26,WSH,1
2026-03-27,BUF,1
2026-03-27,CHI,1
2026-03-27,DET,1
2026-03-27,NYR,1
2026-03-28,ANA,1
2026-03-28,BOS,1
2026-03-28,BUF,1
2026-03-28,CAR,1
2026-03-28,CBJ,1
2026-03-28,CGY,1
2026-03-28,COL,1
2026-03-28,DAL,1
2026-03-28,DET,1
2026-03-28,EDM,1
2026-03-28,FLA,1
2026-03-28,LAK,1
2026-03-28,MIN,1
2026-03-28,MTL,1
2026-03-28,NJD,1
2026-03-28,NSH,1
2026-03-28,NYI,1
2026-03-28,OTT,1
2026-03-28,PHI,1
2026-03-28,PIT,1
2026-03-28,SEA,1
2026-03-28,SJS,1
2026-03-28,STL,1
2026-03-28,TBL,1
2026-03-28,TOR,1
2026-03-28,UTA,1
2026-03-28,VAN,1
2026-03-28,VGK,1
2026-03-28,WPG,1
2026-03-28,WSH,1
2026-03-29,BOS,1
2026-03-29,CAR,1
2026-03-29,CBJ,1
2026-03-29,CHI,1
2026-03-29,DAL,1
2026-03-29,FLA,1
2026-03-29,MTL,1
2026-03-29,NJD,1
2026-03-29,NSH,1
2026-03-29,NYR,1
2026-03-29,PHI,1
2026-03-29,TBL,1
2026-03-30,ANA,1
2026-03-30,CGY,1
2026-03-30,COL,1
2026-03-30,NYI,1
2026-03-30,PIT,1
2026-03-30,SJS,1
2026-03-30,STL,1
2026-03-30,TOR,1
2026-03-30,VAN,1
2026-03-30,VGK,1
2026-03-31,BOS,1
2026-03-31,BUF,1
2026-03-31,CAR,1
2026-03-31,CBJ,1
2026-03-31,CHI,1
2026-03-31,DAL,1
2026-03-31,DET,1
2026-03-31,EDM,1
2026-03-31,FLA,1
2026-03-31,MTL,1
2026-03-31,NJD,1
2026-03-31,NYI,1
2026-03-31,NYR,1
2026-03-31,OTT,1
2026-03-31,PHI,1
2026-03-31,PIT,1
2026-03-31,SEA,1
